Front,Back,Tags
"Enteric nervous system","Mesh of neurons embedded in the lining of the gut, running from the esophagus through the colon; controls the gut","PSYC2240 Chapter2 Anatomy"
"Neuroplasticity","The nervous system's potential to modify itself physically or chemically in response to environmental change and to compensate for age-related changes and injury","PSYC2240 Chapter2 Anatomy"
"Subcortical regions","Regions of the brain that make intimate reciprocal connections with cortical areas that process sensory, perceptual, cognitive, and motor functions","PSYC2240 Chapter2 BrainStructure"
"Pons","Contain nuclei that receive inputs from the cerebellum and form a 'bridge' from it to the rest of the brain","PSYC2240 Chapter2 BrainStructure"
"Reticular formation","Brainstem area in which nuclei and fiber pathways are mixed; associated with sleep-wake behaviour and behavioural arousal","PSYC2240 Chapter2 BrainStructure"
"Medulla","Brainstem structure whose nuclei regulate vital functions such as respiration and cardiovascular function","PSYC2240 Chapter2 BrainStructure"
"Corpus callosum","Band of white matter containing approximately 200 million nerve fibers, which connects the two cerebral hemispheres","PSYC2240 Chapter2 BrainStructure"
"Nuclei","A group of neurons forming a cluster that can be identified using special stains","PSYC2240 Chapter2 BrainStructure"
"Telencephalon","Endbrain - comprises the cerebral hemispheres and cortical areas","PSYC2240 Chapter2 BrainStructure"
"Diencephalon","Between brain - integrates sensory and motor information; includes thalamus and hypothalamus","PSYC2240 Chapter2 BrainStructure"
"Midbrain","Central part of the brain; contains neural circuits for hearing and seeing as well as for orienting movements","PSYC2240 Chapter2 BrainStructure"
"Ventricles","Cavities in the brain that make and contain cerebrospinal fluid","PSYC2240 Chapter2 BrainStructure"
"Mesencephalon","Middle brain - involved in vision and hearing","PSYC2240 Chapter2 BrainStructure"
"Grey matter","Areas of the nervous system composed predominantly of neuronal cell bodies and capillary blood vessels","PSYC2240 Chapter2 BrainStructure"
"Rhombencephalon","Hindbrain - involved in movement and balance","PSYC2240 Chapter2 BrainStructure"
"Prosencephalon","Front brain - develops into diencephalon and telencephalon in mammals","PSYC2240 Chapter2 BrainStructure"
"Hindbrain","Evolutionarily the oldest part of the brain; contains the pons, medulla, reticular formation, and cerebellum","PSYC2240 Chapter2 BrainStructure"
"White matter","Areas of the nervous system composed mainly of myelin sheathed axons","PSYC2240 Chapter2 BrainStructure"
"Tectum","Roof area above the ventricle of the midbrain; role in visual and auditory sensory processing and producing orienting movements","PSYC2240 Chapter2 SpecificStructures"
"Allocortex","Part of the cerebral cortex composed of three or four layers; plays a role in controlling motivational and emotional states as well as in certain forms of memory","PSYC2240 Chapter2 SpecificStructures"
"Basal ganglia","Subcortical forebrain nuclei that coordinate voluntary movements of the limbs and body","PSYC2240 Chapter2 SpecificStructures"
"Cytoarchitectonic map","Map of the neocortex based on the organisation, structure, and distribution of the cells","PSYC2240 Chapter2 SpecificStructures"
"Tegmentum","Floor area below the ventricle of the midbrain; contains nuclei with movement-related, species-specific, and pain perception functions","PSYC2240 Chapter2 SpecificStructures"
"Superior colliculus","Part of tectum that receives visual input","PSYC2240 Chapter2 SpecificStructures"
"Limbic system","A conceptual system controlling affective and motivated behaviours and certain forms of memory; includes the cingulate cortex, amygdala, and hippocampus","PSYC2240 Chapter2 SpecificStructures"
"Hypothalamus","Diencephalon structure that contains many nuclei mediating regulatory functions such as hunger and thirst","PSYC2240 Chapter2 SpecificStructures"
"Amygdala","Brain region playing a role in fear and anxiety","PSYC2240 Chapter2 SpecificStructures"
"Hippocampus","A brain structure responsible for memory consolidation and navigation","PSYC2240 Chapter2 SpecificStructures"
"Cingulate cortex","A cortical structure above the corpus callosum, involved with emotion forming and processing, learning and memory","PSYC2240 Chapter2 SpecificStructures"
"Lateral geniculate nucleus","A thalamic region that processes information from the optic tract and sends it to the visual regions in the occipital lobes","PSYC2240 Chapter2 SpecificStructures"
"Thalamus","Diencephalon structure through which information from all sensory systems is organised, integrated, and projected into the appropriate region of the neocortex","PSYC2240 Chapter2 SpecificStructures"
"Inferior colliculus","Part of tectum that receives auditory input","PSYC2240 Chapter2 SpecificStructures"
"Vomeronasal organ (VNO)","Collection of neurons that detect pheromones; plays a role in reproduction and social behaviour in many mammals","PSYC2240 Chapter2 SpecificStructures"
"Parkinson disease","Motor system disorder correlated with dopamine loss in the substantia nigra; characterised by tremors, muscular rigidity, and reduction in voluntary movement","PSYC2240 Chapter2 SpecificStructures"
"Sympathetic division","Part of the autonomic nervous system that arouses the body for action, such as mediating the involuntary fight-or-flight response","PSYC2240 Chapter2 NervousSystem"
"Neuronal circuit","A series of neurons interconnected by synapses that subserve a function when activated","PSYC2240 Chapter2 NervousSystem"
"Cranial nerves","The 12 nerve pairs that control sensory and motor functions in the head, neck, and internal organs","PSYC2240 Chapter2 NervousSystem"
"Excitation","Increase in the activity of a neuron or brain area","PSYC2240 Chapter2 NervousSystem"
"Vagus nerve","Parasympathetic nerve that calms most of the internal organs","PSYC2240 Chapter2 NervousSystem"
"Microbiome","The interaction of the ENS with gut bacteria","PSYC2240 Chapter2 NervousSystem"
"Plexus","A sheet of tissue lining the esophagus, stomach, small intestine, and colon","PSYC2240 Chapter2 NervousSystem"
"Monosynaptic circuit","Neural circuits in which there is one synapse — they are the fastest because there is no delay of routing signals to the brain","PSYC2240 Chapter2 NervousSystem"
"Ventral stream","Visual pathway that leads to the temporal lobe for object identification","PSYC2240 Chapter2 NervousSystem"
"Psychobiotics","A class of compounds containing live microorganisms, administered to treat behavioural disorders","PSYC2240 Chapter2 NervousSystem"
"Vertebrae","The bones that form the spinal column","PSYC2240 Chapter2 NervousSystem"
"Dermatome","A body segment corresponding to a segment of the spinal cord","PSYC2240 Chapter2 NervousSystem"
"Dorsal stream","Visual pathway that leads to the parietal lobe to guide movements relative to objects","PSYC2240 Chapter2 NervousSystem"
"Inhibition","Activity that decreases the action of a neuron or brain area","PSYC2240 Chapter2 NervousSystem"
"Polysynaptic circuits","Neural circuits in which at least one interneuron comes between a sensory neuron and a motor neuron","PSYC2240 Chapter2 NervousSystem"
"Law of Bell and Magendie","Principle that sensory fibers are dorsal/posterior and motor fibres are ventral/anterior","PSYC2240 Chapter2 NervousSystem"
"Parasympathetic division","Part of the autonomic nervous system that acts in opposition to the sympathetic nervous system — preparing the body to rest and digest","PSYC2240 Chapter2 NervousSystem"
"Neuron theory","The theory that neurons are the nervous system's functional units, that interactions between neurons enable behaviour, and that the more neurons an animal has, the more complex its behaviour will be","PSYC2240 Chapter3 CellTypes"
"Dendrites","Branching extension of a neuron's cell membrane; greatly increases the cell's surface area; collects information from other cells","PSYC2240 Chapter3 CellTypes"
"Somatosensory neuron","Brain cell that brings sensory information from the body into the spinal cord","PSYC2240 Chapter3 CellTypes"
"Terminal button","Knob at the tip of an axon that conveys information to other neurons","PSYC2240 Chapter3 CellTypes"
"Interneurons","Association cell interposed between a sensory neuron and a motor neuron; in mammals, interneurons constitute most of the brain's neurons","PSYC2240 Chapter3 CellTypes"
"Motor neurons","Cell that carries efferent information from the brain and spinal cord to make muscles contract","PSYC2240 Chapter3 CellTypes"
"Axon hillock","Juncture of the soma and axon","PSYC2240 Chapter3 CellTypes"
"Perineuronal net","A structure that forms around neurons as they mature","PSYC2240 Chapter3 CellTypes"
"Axon collaterals","Branch of an axon","PSYC2240 Chapter3 CellTypes"
"Cell body (soma)","Core region of the cell containing the nucleus and other organelles for making proteins","PSYC2240 Chapter3 CellTypes"
"Sensory neurons","Cell that detects or carries sensory information into the spinal cord and brain","PSYC2240 Chapter3 CellTypes"
"Axon","The root, or single fibre, of a neuron that carries messages to other neurons","PSYC2240 Chapter3 CellTypes"
"Purkinje cell","Distinctively shaped interneuron found in the cerebellum; carries information from the cerebellum to the rest of the brain and spinal cord","PSYC2240 Chapter3 CellTypes"
"Dendritic spines","Protrusion that greatly increases the dendrite's surface area; typical point of contact with the axons of other cells","PSYC2240 Chapter3 CellTypes"
"Pyramidal cell","A distinctively shaped interneuron found in the cerebral cortex; has a long axon, a pyramid shaped cell body, and two sets of dendrites","PSYC2240 Chapter3 CellTypes"
"Synapse","Spatial junction between one neuron and another; forms the information transfer site between neurons","PSYC2240 Chapter3 CellTypes"
"Extracellular fluid","Fluid that separates neurons and glia from being tightly packed together","PSYC2240 Chapter3 GlialCells"
"Primary mitochondrial diseases","Genetic conditions in which mitochondria in one or more body organs fail to produce enough energy to carry out normal function","PSYC2240 Chapter3 GlialCells"
"Lysosomes","Vehicles that transport incoming nutrients and remove and store waste","PSYC2240 Chapter3 GlialCells"
"Endoplasmic reticulum (ER)","The 'factory floor', that copied genetic blueprints are sent to from the nucleus","PSYC2240 Chapter3 GlialCells"
"Astrocytes","Star-shaped glial cell that provides structural support to CNS neurons and transports substances between neurons and blood vessels","PSYC2240 Chapter3 GlialCells"
"Paralysis","Loss of sensation and movement due to nervous system injury","PSYC2240 Chapter3 GlialCells"
"Oligodendroglia","Glial cells in the CNS that myelinate axons","PSYC2240 Chapter3 GlialCells"
"Ependymal cells","Glial cells that make and secrete cerebrospinal fluid; found on the walls of the brain's ventricles","PSYC2240 Chapter3 GlialCells"
"Blood-brain barrier","Protective partition between the blood and the brain formed by tight junctions between the cells that compose blood vessels in the brain","PSYC2240 Chapter3 GlialCells"
"Intracellular fluid","Fluid found inside a cell","PSYC2240 Chapter3 GlialCells"
"Microglia","Glial cells that originate in the blood, aid in cell repair, and scavenge debris in the nervous system","PSYC2240 Chapter3 GlialCells"
"Mitochondria","Cellular structures that generate energy for the cell","PSYC2240 Chapter3 GlialCells"
"Microfilaments","Structures that reinforce the cell's structure, giving it shape but also allowing it to change shape","PSYC2240 Chapter3 GlialCells"
"Schwann cells","Glial cells in the PNS that myelinate sensory and motor axons","PSYC2240 Chapter3 GlialCells"
"Microtubules","Form the transportation network that carries proteins to their destinations","PSYC2240 Chapter3 GlialCells"
"Neurofilaments","Structures that reinforce the cell's structure, giving it shape but also allowing it to change shape","PSYC2240 Chapter3 GlialCells"
"Nuclear membrane","Protective shell that surrounds the nucleus","PSYC2240 Chapter3 GlialCells"
"Protein","Folded up polypeptide chain that serves a particular function in the body","PSYC2240 Chapter3 Genetics"
"mRNA","The transcribed strand of RNA that carries the protein code out of the nucleus into the endoplasmic reticulum","PSYC2240 Chapter3 Genetics"
"Hydrophilia","Property of loving water (polar molecules)","PSYC2240 Chapter3 Genetics"
"Genes","DNA segment that encodes the synthesis of a particular protein","PSYC2240 Chapter3 Genetics"
"Sex chromosomes","The 23rd pair of chromosomes (X and Y) that determine biological sex","PSYC2240 Chapter3 Genetics"
"Transfer RNA (tRNA)","Assists in the process of translating sequences of nucleotide bases in the mRNA into particular sequences of amino acids","PSYC2240 Chapter3 Genetics"
"Chromosomes","Double helix structures that hold an organism's entire DNA library","PSYC2240 Chapter3 Genetics"
"Hydrophobia","Property of hating water (nonpolar molecules)","PSYC2240 Chapter3 Genetics"
"Exocytosis","Process when the membrane (vesicle) in which the protein is wrapped fuses with the cell membrane, and the protein is excreted into the extracellular fluid","PSYC2240 Chapter3 Genetics"
"Nucleotide bases","The consistent molecules of the genetic code: adenine (A), thiamine (T), guanine (G), and cytosine (C)","PSYC2240 Chapter3 Genetics"
"Pumps","Protein in the cell membrane that actively transports a substance across the membrane","PSYC2240 Chapter3 Genetics"
"Gates","Protein embedded in a cell membrane that allows for substances to pass through the membrane on some occasions but not others","PSYC2240 Chapter3 Genetics"
"Enzymes","Proteins that enhance chemical reactions","PSYC2240 Chapter3 Genetics"
"Codons","Sequence of three nucleotides which together form a unit of genetic code in a DNA or RNA molecule","PSYC2240 Chapter3 Genetics"
"Autosomes","Chromosomes 1-22 that contain genes contributing to physical appearance and behaviour","PSYC2240 Chapter3 Genetics"
"Channels","Opening in a protein embedded in the cell membrane that allows the passage of ions","PSYC2240 Chapter3 Genetics"
"Ribosomes","Protein structures that act as catalysts for the formation of proteins","PSYC2240 Chapter3 Genetics"
"Translation","Process where mRNA is read by ribosomes to create proteins","PSYC2240 Chapter3 GeneticsAdvanced"
"Transgenic animals","Product of technology in which one or more genes from one species is introduced into the genome of another species","PSYC2240 Chapter3 GeneticsAdvanced"
"Prions","Misfolded proteins that cause other proteins to misfold; implicated in many degenerative brain diseases","PSYC2240 Chapter3 GeneticsAdvanced"
"Mutation","Any alteration of a gene that yields a different version of its protein","PSYC2240 Chapter3 GeneticsAdvanced"
"Heterozygous","Having two different alleles for the same trait","PSYC2240 Chapter3 GeneticsAdvanced"
"Wild-type","The nucleotide sequence most common in a population","PSYC2240 Chapter3 GeneticsAdvanced"
"Down syndrome","Chromosomal abnormality resulting in intellectual impairment and other abnormalities, usually caused by an extra chromosome 21","PSYC2240 Chapter3 GeneticsAdvanced"
"Alleles","Alternative form of a gene; a gene pair contains two alleles","PSYC2240 Chapter3 GeneticsAdvanced"
"Transcription","Process where DNA unwinds to expose a gene and creates mRNA","PSYC2240 Chapter3 GeneticsAdvanced"
"Homozygous","Having two identical alleles for a trait","PSYC2240 Chapter3 GeneticsAdvanced"
"Huntington disease","Hereditary disease characterised by chorea (ceaseless involuntary jerky movements) and progressive dementia, ending in death","PSYC2240 Chapter3 GeneticsAdvanced"
"Single nucleotide polymorphism (SNP)","A change in a single nucleotide base, resulting in a change in a codon and a resulting change in one amino acid in a protein","PSYC2240 Chapter3 GeneticsAdvanced"
"Dominant allele","A member of a gene pair that is routinely expressed as a trait","PSYC2240 Chapter3 GeneticsAdvanced"
"Peptide bond","Bond that connects amino acids together in a polypeptide chain","PSYC2240 Chapter3 GeneticsAdvanced"
"Tay-Sachs disease","Inherited birth defect caused by the loss of genes that encode the enzyme necessary for breaking down certain fatty substances","PSYC2240 Chapter3 GeneticsAdvanced"
"Recessive allele","An unexpressed (but still present) allele","PSYC2240 Chapter3 GeneticsAdvanced"
"Cloning","Producing an offspring that is genetically identical to another animal","PSYC2240 Chapter3 GeneticsAdvanced"
"Misfolded proteins","Proteins that are incorrectly folded and implicated in many nervous system diseases","PSYC2240 Chapter3 GeneticsAdvanced"
What are the three main functions of neurons?,"1. Sensory neurons detect stimulation, 2. Interneurons process information, 3. Motor neurons produce movement","PSYC2240 Chapter3 Concept"
What are the four lobes of the cerebral cortex and their primary functions?,"Frontal (executive functions, movement), Parietal (movement guidance), Temporal (hearing, language, emotion), Occipital (vision)","PSYC2240 Chapter2 Concept"
What are the key differences between the sympathetic and parasympathetic nervous systems?,"Sympathetic: fight-or-flight, arousal, emergency response; Parasympathetic: rest-and-digest, calming, maintenance functions","PSYC2240 Chapter2 Concept"
What evidence supports the theory of evolution by natural selection in brain development?,"Common ancestry, similar brain structures across species, progressive complexity from simple to complex nervous systems","PSYC2240 Chapter1 Concept"
How does neuroplasticity benefit brain function?,"Allows adaptation to environmental changes, compensation for injury, learning and memory formation, recovery from damage","PSYC2240 Chapter1 Concept"
What are the main stages of human brain evolution?,"Australopithecus (30B neurons) → H. habilis (60B) → H. erectus (75B) → H. sapiens (86B neurons)","PSYC2240 Chapter1 Evolution"
What is the difference between genotype and phenotype?,"Genotype: genetic makeup (DNA sequence); Phenotype: observable characteristics and traits expressed","PSYC2240 Chapter3 Genetics"
How do dominant and recessive alleles work?,"Dominant alleles are expressed when present; recessive alleles are only expressed when both copies are recessive","PSYC2240 Chapter3 Genetics"
What is the central dogma of molecular biology?,"DNA → mRNA (transcription) → Protein (translation)","PSYC2240 Chapter3 Genetics"
What are the 10 principles of nervous system function?,"1. Neuronal circuits are functional units, 2. Sensory-motor divisions pervade, 3. Multiple levels and hierarchy, 4. Many circuits are crossed, 5. Functions are localized and distributed, 6. Brain is symmetrical and asymmetrical, 7. Excitation and inhibition balance, 8. Sensory input divides for recognition and movement, 9. Movement in constructed perceptual world, 10. Neuroplasticity is hallmark","PSYC2240 Chapter2 Principles"
