"Text","Tags"
"{{c1::Huntington disease}} is caused by a {{c2::dominant}} gene, so only {{c3::one copy}} is needed for the condition to express","PSYC2240 Chapter3 ClozeDeletion"
"{{c1::Oligodendroglia}} are glial cells in the {{c2::CNS}} that {{c3::myelinate axons}}, while {{c4::Schwann cells}} do this in the {{c5::PNS}}","PSYC2240 Chapter3 ClozeDeletion"
"The three main functions of neurons are: {{c1::sensory neurons}} detect stimulation, {{c2::interneurons}} process information, and {{c3::motor neurons}} produce movement","PSYC2240 Chapter123 ConceptCloze"
"The four lobes of the cerebral cortex are {{c1::frontal}} (executive functions), {{c2::parietal}} (movement guidance), {{c3::temporal}} (hearing/language), and {{c4::occipital}} (vision)","PSYC2240 Chapter123 ConceptCloze"
"The autonomic nervous system has two divisions: {{c1::sympathetic}} (fight-or-flight) and {{c2::parasympathetic}} (rest-and-digest)","PSYC2240 Chapter123 ConceptCloze"
"Human brain evolution progressed: {{c1::Australopithecus}} (30B neurons) → {{c2::H. habilis}} (60B) → {{c3::H. erectus}} (75B) → {{c4::H. sapiens}} (86B neurons)","PSYC2240 Chapter123 ConceptCloze"
"The central dogma of molecular biology: {{c1::DNA}} → {{c2::mRNA}} (transcription) → {{c3::Protein}} (translation)","PSYC2240 Chapter123 ConceptCloze"
"{{c1::Homozygous}} means having {{c2::two identical alleles}} for a trait, while {{c3::heterozygous}} means having {{c4::two different alleles}}","PSYC2240 Chapter123 ConceptCloze"
"{{c1::Neuroplasticity}} is the brain's ability to {{c2::change and adapt}} throughout life in response to {{c3::experience}}","PSYC2240 Chapter123 ConceptCloze"
"{{c1::Encephalization}} is the evolutionary {{c2::increase of brain size}} relative to {{c3::body size}}, often associated with {{c4::enhanced cognitive abilities}}","PSYC2240 Chapter123 ConceptCloze"
